word	TextCount	TextLength
?	44	1
`khandh?	3	8
`r?pa?	1	6
~	91	1
§	43	1
§§	5	2
A	1635	1
a	2920	1
?	583	1
?	1223	1
Aa	54	2
aa	1	2
?a	1	2
?ac	1	3
AB	257	2
ab	71	2
ab?	1	3
?b?	2	3
Abab?	1	5
abab?	2	5
ababb?	1	6
ababbho	1	7
ababbo	1	6
Ababo	2	5
ababo	1	5
Abaddh?	3	7
abaddh?	3	7
?baddh?	2	7
abaddhañ	1	8
abaddhap?dena	1	13
abaddhe	3	7
abaddho	8	7
?baddho	1	7
ab?dh?	1	6
?b?dh?	78	6
?b?dhabh?ta?	1	12
?b?dhabh?to	1	11
?b?dham	1	7
?b?dha?	1	7
?b?dha?	22	7
?b?dhana?	1	9
?b?dh?na?	6	9
?b?dhapaccay?	15	13
?b?dhat?ti	1	10
Ab?dhato	1	8
?b?dhato	17	8
?b?dhaya	1	8
?b?dh?ya	31	8
?b?dhayessati	1	13
?b?dhe	1	6
?b?dhehi	37	8
?b?dhena	25	8
?b??hena	1	8
?b?dhi	1	6
?badhik?	1	8
?b?dhik?	4	8
?b?dhika?	5	9
?b?dhik?na?	1	11
?b?dhikin?	2	10
?b?dhiko	1	8
?b?dhiko	58	8
?b?dh?ko	1	8
abadhiro	1	8
?b?dhita?	1	9
?b?dhito	1	8
?b?dho	1	6
?b?dho	107	6
?b?di	1	5
abahigata	1	9
abahigatena	1	11
abahiggatam?naso	1	16
ab?hiram	1	8
ab?hira?	1	8
abahu	1	5
ab?hu	1	5
abahukato	2	9
abahul?kamma?	6	13
abahul?karonto	1	14
abahul?karot?	1	13
abahulikat?	2	11
abahul?kat?	5	11
abahul?kata?	4	12
abahul?kat?ni	2	13
abahul?katatt?	8	14
abahul?kato	9	11
abahum?nakato	1	13
abajha	3	6
abajhanak?	1	10
abajhitv?	1	9
?bajja	1	6
?bajjha	2	7
abajjhare	1	9
abajjhatha	1	10
abala	1	5
Abal?	4	5
abal?	9	5
abalabalo	3	9
ab?laj?tik?	1	11
abala?	11	6
Abalan	2	6
ab?lassa	7	8
abalassa?	1	9
abalav?	1	7
abal?ya	2	7
Ab??ha?	1	7
abalo	2	5
abandh?	1	7
?bandh?	1	7
abandhan?	1	9
abandhana?	5	10
abandhanan	1	10
?bandhan?ni	1	11
?bandhan?n?ti	1	13
abandhananti	2	12
abandhanena	4	11
Abandhano	1	9
abandhano	8	9
abandhanok?sa?	2	14
abandhanok?sena	2	15
abandhanok?so	1	13
?bandhe	4	7
abandhi	3	7
?bandhitabb?ni	1	14
abandhitabbayutt?	1	17
abandhitabbayuttak?	1	19
